# Data for the a4a model 
# Full age range
 0 4 
# Full year range
 2003 2021 
# Number of surveys
 1 
# Survey min ages
 1 
# Survey max ages
 4 
# Survey time as a fraction into the year (one for each survey)
 0.6 
# fbar range
 1 3 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 171 
# Observation data frame 
# fleet	year	age	observation	weights
2	2016	4	-3.50935141907427	1
2	2017	1	3.69305073046282	1
2	2017	2	1.53907799855388	1
2	2017	3	-1.11306652358264	1
2	2017	4	-3.08200447540753	1
2	2018	1	2.80402251767136	1
2	2018	2	1.96472530095508	1
2	2018	3	-0.779334140019381	1
2	2018	4	-4.62129541903246	1
2	2019	1	3.69682306408004	1
2	2019	2	2.54431275482594	1
2	2019	3	0.0208576341134306	1
2	2019	4	-2.63181281865065	1
2	2020	1	4.49960273076549	1
2	2020	2	2.62835908826148	1
2	2020	3	0.230253628751697	1
2	2020	4	-2.80685534613129	1
2	2021	1	3.60874846240446	1
2	2021	2	2.05289605479378	1
2	2021	3	-0.608076836559602	1
2	2021	4	-2.70689262362762	1
# Auxilliary data frame 
# Number of auxilliary data
 95 
